protocol,k,rate,run,consensus_tps,consensus_bps,consensus_latency_ms,e2e_tps,e2e_bps,e2e_latency_ms,duration_s
Tusk,0,10000,1,8904.0,4558684.0,898.0,8848.0,4530139.0,1120.0,60.0
Tusk,0,10000,2,8420.0,4311287.0,1054.0,8368.0,4284191.0,1276.0,60.0
Tusk,0,10000,3,8630.0,4418418.0,897.0,8576.0,4390749.0,1121.0,60.0
Tusk,0,30000,1,24251.0,12416342.0,1143.0,24181.0,12380580.0,1309.0,60.0
Tusk,0,30000,2,24513.0,12550603.0,917.0,24442.0,12514157.0,1087.0,60.0
Tusk,0,30000,3,26243.0,13436530.0,885.0,26167.0,13397739.0,1057.0,60.0
Tusk,0,50000,1,41475.0,21235450.0,2355.0,41356.0,21174388.0,2503.0,60.0
Tusk,0,50000,2,43338.0,22188872.0,796.0,43213.0,22125244.0,940.0,60.0
Tusk,0,50000,3,43825.0,22438227.0,1049.0,43695.0,22371831.0,1193.0,59.0
Tusk,0,70000,1,57466.0,29422465.0,868.0,57299.0,29337051.0,996.0,60.0
Tusk,0,70000,2,59461.0,30444104.0,957.0,59283.0,30352777.0,1090.0,59.0
Tusk,0,70000,3,55749.0,28543428.0,858.0,55586.0,28459793.0,989.0,60.0
Tusk,0,100000,1,83501.0,42752544.0,1090.0,83257.0,42627799.0,1221.0,60.0
Tusk,0,100000,2,86154.0,44110593.0,979.0,85906.0,43984078.0,1109.0,60.0
Tusk,0,100000,3,92547.0,47384263.0,794.0,92280.0,47247369.0,925.0,60.0
MP3-BFT++_k1,1,10000,1,8537.0,4371119.0,937.0,8484.0,4343823.0,1157.0,60.0
MP3-BFT++_k1,1,10000,2,9163.0,4691650.0,973.0,9106.0,4662257.0,1193.0,60.0
MP3-BFT++_k1,1,10000,3,8560.0,4382938.0,933.0,8507.0,4355714.0,1157.0,60.0
MP3-BFT++_k1,1,30000,1,24605.0,12597676.0,871.0,24534.0,12561312.0,1039.0,60.0
MP3-BFT++_k1,1,30000,2,24131.0,12355041.0,841.0,24061.0,12319305.0,1012.0,60.0
MP3-BFT++_k1,1,30000,3,23941.0,12257560.0,885.0,23870.0,12221557.0,1055.0,60.0
MP3-BFT++_k1,1,50000,1,43880.0,22466584.0,908.0,43751.0,22400716.0,1052.0,60.0
MP3-BFT++_k1,1,50000,2,40602.0,20788269.0,890.0,40484.0,20727929.0,1032.0,60.0
MP3-BFT++_k1,1,50000,3,46380.0,23746426.0,887.0,46246.0,23677859.0,1033.0,60.0
MP3-BFT++_k1,1,70000,1,57966.0,29678490.0,849.0,57798.0,29592338.0,980.0,60.0
MP3-BFT++_k1,1,70000,2,61753.0,31617396.0,963.0,61576.0,31526723.0,1094.0,60.0
MP3-BFT++_k1,1,70000,3,55634.0,28484861.0,861.0,55476.0,28403491.0,991.0,60.0
MP3-BFT++_k1,1,100000,1,90062.0,46111508.0,878.0,89801.0,45978313.0,1007.0,60.0
MP3-BFT++_k1,1,100000,2,83042.0,42517365.0,906.0,82799.0,42393138.0,1037.0,60.0
MP3-BFT++_k1,1,100000,3,83001.0,42496456.0,795.0,82759.0,42372494.0,925.0,60.0
MP3-BFT++_k2,2,10000,1,8660.0,4433699.0,613.0,8606.0,4406319.0,834.0,60.0
MP3-BFT++_k2,2,10000,2,8285.0,4242135.0,665.0,8234.0,4215797.0,886.0,60.0
MP3-BFT++_k2,2,10000,3,8802.0,4506400.0,729.0,8746.0,4478036.0,954.0,60.0
MP3-BFT++_k2,2,30000,1,25213.0,12909114.0,621.0,25141.0,12872061.0,793.0,60.0
MP3-BFT++_k2,2,30000,2,23551.0,12058029.0,640.0,23482.0,12023010.0,811.0,60.0
MP3-BFT++_k2,2,30000,3,27185.0,13918811.0,771.0,27109.0,13879819.0,942.0,60.0
MP3-BFT++_k2,2,50000,1,39486.0,20216896.0,657.0,39373.0,20158965.0,802.0,60.0
MP3-BFT++_k2,2,50000,2,46592.0,23855254.0,761.0,46449.0,23781661.0,905.0,60.0
MP3-BFT++_k2,2,50000,3,40408.0,20689004.0,652.0,40292.0,20629685.0,795.0,60.0
MP3-BFT++_k2,2,70000,1,58038.0,29715448.0,652.0,57871.0,29630168.0,783.0,60.0
MP3-BFT++_k2,2,70000,2,58267.0,29832636.0,667.0,58102.0,29748012.0,796.0,60.0
MP3-BFT++_k2,2,70000,3,60458.0,30954559.0,763.0,60281.0,30864103.0,896.0,60.0
MP3-BFT++_k2,2,100000,1,87316.0,44705628.0,764.0,87069.0,44579518.0,891.0,60.0
MP3-BFT++_k2,2,100000,2,86142.0,44104711.0,726.0,85895.0,43978301.0,853.0,60.0
MP3-BFT++_k2,2,100000,3,84054.0,43035685.0,690.0,83810.0,42910846.0,820.0,60.0
MP3-BFT++_k4,4,10000,1,8655.0,4431477.0,550.0,8601.0,4403885.0,774.0,60.0
MP3-BFT++_k4,4,10000,2,8579.0,4392360.0,662.0,8525.0,4365006.0,886.0,60.0
MP3-BFT++_k4,4,10000,3,8376.0,4288753.0,559.0,8324.0,4261984.0,783.0,60.0
MP3-BFT++_k4,4,30000,1,25921.0,13271539.0,560.0,25847.0,13233660.0,730.0,60.0
MP3-BFT++_k4,4,30000,2,25143.0,12873073.0,570.0,25071.0,12836535.0,740.0,60.0
MP3-BFT++_k4,4,30000,3,27100.0,13875132.0,491.0,27023.0,13835806.0,661.0,60.0
MP3-BFT++_k4,4,50000,1,43327.0,22183403.0,693.0,43200.0,22118578.0,837.0,60.0
MP3-BFT++_k4,4,50000,2,40022.0,20491023.0,568.0,39906.0,20431802.0,714.0,60.0
MP3-BFT++_k4,4,50000,3,42298.0,21656493.0,594.0,42177.0,21594383.0,738.0,60.0
MP3-BFT++_k4,4,70000,1,58681.0,30044564.0,579.0,58513.0,29958878.0,711.0,60.0
MP3-BFT++_k4,4,70000,2,62815.0,32161504.0,657.0,62635.0,32069173.0,789.0,60.0
MP3-BFT++_k4,4,70000,3,59521.0,30474655.0,578.0,59349.0,30386816.0,710.0,60.0
MP3-BFT++_k4,4,100000,1,85913.0,43987678.0,594.0,85660.0,43857949.0,723.0,60.0
MP3-BFT++_k4,4,100000,2,84426.0,43226308.0,620.0,84182.0,43101368.0,748.0,60.0
MP3-BFT++_k4,4,100000,3,82518.0,42248988.0,565.0,82281.0,42127729.0,693.0,60.0
