engine,scenario,accounts,threads,run,tps
LEAP-base,Hotspot50,2,4,0,9482
LEAP-concat,Hotspot50,2,4,0,9325
LEAP-interleave,Hotspot50,2,4,0,9453
LEAP-base,Hotspot50,2,4,1,9430
LEAP-concat,Hotspot50,2,4,1,9394
LEAP-interleave,Hotspot50,2,4,1,9380
LEAP-base,Hotspot50,2,4,2,9445
LEAP-concat,Hotspot50,2,4,2,9498
LEAP-interleave,Hotspot50,2,4,2,9479
LEAP-base,Hotspot50,2,8,0,12134
LEAP-concat,Hotspot50,2,8,0,11510
LEAP-interleave,Hotspot50,2,8,0,12538
LEAP-base,Hotspot50,2,8,1,11869
LEAP-concat,Hotspot50,2,8,1,12044
LEAP-interleave,Hotspot50,2,8,1,11760
LEAP-base,Hotspot50,2,8,2,11389
LEAP-concat,Hotspot50,2,8,2,12125
LEAP-interleave,Hotspot50,2,8,2,11977
LEAP-base,Hotspot50,2,16,0,4818
LEAP-concat,Hotspot50,2,16,0,4807
LEAP-interleave,Hotspot50,2,16,0,4800
LEAP-base,Hotspot50,2,16,1,4781
LEAP-concat,Hotspot50,2,16,1,4819
LEAP-interleave,Hotspot50,2,16,1,4846
LEAP-base,Hotspot50,2,16,2,4802
LEAP-concat,Hotspot50,2,16,2,4793
LEAP-interleave,Hotspot50,2,16,2,4824
Serial,Hotspot50,10,1,0,4995
Serial,Hotspot50,10,1,1,4996
Serial,Hotspot50,10,1,2,4997
LEAP-base,Hotspot50,10,4,0,14733
LEAP-concat,Hotspot50,10,4,0,15591
LEAP-interleave,Hotspot50,10,4,0,15736
LEAP-base,Hotspot50,10,4,1,15637
LEAP-concat,Hotspot50,10,4,1,15450
LEAP-interleave,Hotspot50,10,4,1,15644
LEAP-base,Hotspot50,10,4,2,15845
LEAP-concat,Hotspot50,10,4,2,15603
LEAP-interleave,Hotspot50,10,4,2,15310
LEAP-base,Hotspot50,10,8,0,10429
LEAP-concat,Hotspot50,10,8,0,10635
LEAP-interleave,Hotspot50,10,8,0,10363
LEAP-base,Hotspot50,10,8,1,10564
LEAP-concat,Hotspot50,10,8,1,10330
LEAP-interleave,Hotspot50,10,8,1,10673
LEAP-base,Hotspot50,10,8,2,10740
LEAP-concat,Hotspot50,10,8,2,10418
LEAP-interleave,Hotspot50,10,8,2,10391
LEAP-base,Hotspot50,10,16,0,8329
LEAP-concat,Hotspot50,10,16,0,8340
LEAP-interleave,Hotspot50,10,16,0,8592
LEAP-base,Hotspot50,10,16,1,8494
LEAP-concat,Hotspot50,10,16,1,8476
LEAP-interleave,Hotspot50,10,16,1,8349
LEAP-base,Hotspot50,10,16,2,8475
LEAP-concat,Hotspot50,10,16,2,8456
LEAP-interleave,Hotspot50,10,16,2,8556
Serial,Hotspot50,100,1,0,4993
Serial,Hotspot50,100,1,1,4992
Serial,Hotspot50,100,1,2,4992
LEAP-base,Hotspot50,100,4,0,18614
LEAP-concat,Hotspot50,100,4,0,18334
LEAP-interleave,Hotspot50,100,4,0,18069
LEAP-base,Hotspot50,100,4,1,18376
LEAP-concat,Hotspot50,100,4,1,17919
LEAP-interleave,Hotspot50,100,4,1,17739
LEAP-base,Hotspot50,100,4,2,17983
LEAP-concat,Hotspot50,100,4,2,18265
LEAP-interleave,Hotspot50,100,4,2,18269
LEAP-base,Hotspot50,100,8,0,18549
LEAP-concat,Hotspot50,100,8,0,17884
LEAP-interleave,Hotspot50,100,8,0,17462
LEAP-base,Hotspot50,100,8,1,17180
LEAP-concat,Hotspot50,100,8,1,19334
LEAP-interleave,Hotspot50,100,8,1,19098
LEAP-base,Hotspot50,100,8,2,20346
LEAP-concat,Hotspot50,100,8,2,19458
LEAP-interleave,Hotspot50,100,8,2,20441
LEAP-base,Hotspot50,100,16,0,12462
LEAP-concat,Hotspot50,100,16,0,12125
LEAP-interleave,Hotspot50,100,16,0,12066
LEAP-base,Hotspot50,100,16,1,12329
LEAP-concat,Hotspot50,100,16,1,12335
LEAP-interleave,Hotspot50,100,16,1,12380
LEAP-base,Hotspot50,100,16,2,12489
LEAP-concat,Hotspot50,100,16,2,12768
LEAP-interleave,Hotspot50,100,16,2,12922
Serial,Hotspot50,1000,1,0,4996
Serial,Hotspot50,1000,1,1,4996
Serial,Hotspot50,1000,1,2,4995
LEAP-base,Hotspot50,1000,4,0,18193
LEAP-concat,Hotspot50,1000,4,0,14860
LEAP-interleave,Hotspot50,1000,4,0,15496
LEAP-base,Hotspot50,1000,4,1,18381
LEAP-concat,Hotspot50,1000,4,1,14977
LEAP-interleave,Hotspot50,1000,4,1,15222
LEAP-base,Hotspot50,1000,4,2,18099
LEAP-concat,Hotspot50,1000,4,2,15758
LEAP-interleave,Hotspot50,1000,4,2,15837
LEAP-base,Hotspot50,1000,8,0,20140
LEAP-concat,Hotspot50,1000,8,0,14722
LEAP-interleave,Hotspot50,1000,8,0,15230
LEAP-base,Hotspot50,1000,8,1,21118
LEAP-concat,Hotspot50,1000,8,1,14158
LEAP-interleave,Hotspot50,1000,8,1,15086
LEAP-base,Hotspot50,1000,8,2,20940
LEAP-concat,Hotspot50,1000,8,2,14688
LEAP-interleave,Hotspot50,1000,8,2,16137
LEAP-base,Hotspot50,1000,16,0,10898
LEAP-concat,Hotspot50,1000,16,0,14298
LEAP-interleave,Hotspot50,1000,16,0,14271
LEAP-base,Hotspot50,1000,16,1,10894
LEAP-concat,Hotspot50,1000,16,1,13728
LEAP-interleave,Hotspot50,1000,16,1,13896
LEAP-base,Hotspot50,1000,16,2,10888
LEAP-concat,Hotspot50,1000,16,2,14113
LEAP-interleave,Hotspot50,1000,16,2,14324
Serial,Hotspot50,10000,1,0,4995
Serial,Hotspot50,10000,1,1,4997
Serial,Hotspot50,10000,1,2,4996
LEAP-base,Hotspot50,10000,4,0,18098
LEAP-concat,Hotspot50,10000,4,0,18595
LEAP-interleave,Hotspot50,10000,4,0,19007
LEAP-base,Hotspot50,10000,4,1,18093
LEAP-concat,Hotspot50,10000,4,1,18893
LEAP-interleave,Hotspot50,10000,4,1,18923
LEAP-base,Hotspot50,10000,4,2,18196
LEAP-concat,Hotspot50,10000,4,2,18671
LEAP-interleave,Hotspot50,10000,4,2,19005
LEAP-base,Hotspot50,10000,8,0,19243
LEAP-concat,Hotspot50,10000,8,0,33435
LEAP-interleave,Hotspot50,10000,8,0,34244
LEAP-base,Hotspot50,10000,8,1,19283
LEAP-concat,Hotspot50,10000,8,1,32656
LEAP-interleave,Hotspot50,10000,8,1,35076
LEAP-base,Hotspot50,10000,8,2,20280
LEAP-concat,Hotspot50,10000,8,2,32321
LEAP-interleave,Hotspot50,10000,8,2,34327
LEAP-base,Hotspot50,10000,16,0,9607
LEAP-concat,Hotspot50,10000,16,0,30343
LEAP-interleave,Hotspot50,10000,16,0,31273
LEAP-base,Hotspot50,10000,16,1,9445
LEAP-concat,Hotspot50,10000,16,1,33807
LEAP-interleave,Hotspot50,10000,16,1,34755
LEAP-base,Hotspot50,10000,16,2,9766
LEAP-concat,Hotspot50,10000,16,2,32001
LEAP-interleave,Hotspot50,10000,16,2,31736
Serial,Hotspot70,2,1,0,4990
Serial,Hotspot70,2,1,1,4990
Serial,Hotspot70,2,1,2,4992
LEAP-base,Hotspot70,2,4,0,9480
LEAP-concat,Hotspot70,2,4,0,9435
LEAP-interleave,Hotspot70,2,4,0,9496
LEAP-base,Hotspot70,2,4,1,9414
LEAP-concat,Hotspot70,2,4,1,9535
LEAP-interleave,Hotspot70,2,4,1,9323
LEAP-base,Hotspot70,2,4,2,9410
LEAP-concat,Hotspot70,2,4,2,9473
LEAP-interleave,Hotspot70,2,4,2,9424
LEAP-base,Hotspot70,2,8,0,11568
LEAP-concat,Hotspot70,2,8,0,11357
LEAP-interleave,Hotspot70,2,8,0,11764
LEAP-base,Hotspot70,2,8,1,11860
LEAP-concat,Hotspot70,2,8,1,12088
LEAP-interleave,Hotspot70,2,8,1,12510
LEAP-base,Hotspot70,2,8,2,12389
LEAP-concat,Hotspot70,2,8,2,12145
LEAP-interleave,Hotspot70,2,8,2,12033
LEAP-base,Hotspot70,2,16,0,4842
LEAP-concat,Hotspot70,2,16,0,4772
LEAP-interleave,Hotspot70,2,16,0,4817
LEAP-base,Hotspot70,2,16,1,4792
LEAP-concat,Hotspot70,2,16,1,4813
LEAP-interleave,Hotspot70,2,16,1,4776
LEAP-base,Hotspot70,2,16,2,4826
LEAP-concat,Hotspot70,2,16,2,4754
LEAP-interleave,Hotspot70,2,16,2,4849
Serial,Hotspot70,10,1,0,4996
Serial,Hotspot70,10,1,1,4997
Serial,Hotspot70,10,1,2,4998
LEAP-base,Hotspot70,10,4,0,13646
LEAP-concat,Hotspot70,10,4,0,13792
LEAP-interleave,Hotspot70,10,4,0,13243
LEAP-base,Hotspot70,10,4,1,13429
LEAP-concat,Hotspot70,10,4,1,13892
LEAP-interleave,Hotspot70,10,4,1,13891
LEAP-base,Hotspot70,10,4,2,13722
LEAP-concat,Hotspot70,10,4,2,13423
LEAP-interleave,Hotspot70,10,4,2,13605
LEAP-base,Hotspot70,10,8,0,9796
LEAP-concat,Hotspot70,10,8,0,9812
LEAP-interleave,Hotspot70,10,8,0,9798
LEAP-base,Hotspot70,10,8,1,9873
LEAP-concat,Hotspot70,10,8,1,9908
LEAP-interleave,Hotspot70,10,8,1,9922
LEAP-base,Hotspot70,10,8,2,10085
LEAP-concat,Hotspot70,10,8,2,9659
LEAP-interleave,Hotspot70,10,8,2,9787
LEAP-base,Hotspot70,10,16,0,7390
LEAP-concat,Hotspot70,10,16,0,7320
LEAP-interleave,Hotspot70,10,16,0,7529
LEAP-base,Hotspot70,10,16,1,7514
LEAP-concat,Hotspot70,10,16,1,7392
LEAP-interleave,Hotspot70,10,16,1,7563
LEAP-base,Hotspot70,10,16,2,7513
LEAP-concat,Hotspot70,10,16,2,7482
LEAP-interleave,Hotspot70,10,16,2,7518
Serial,Hotspot70,100,1,0,4995
Serial,Hotspot70,100,1,1,4994
Serial,Hotspot70,100,1,2,4994
LEAP-base,Hotspot70,100,4,0,15425
LEAP-concat,Hotspot70,100,4,0,15142
LEAP-interleave,Hotspot70,100,4,0,15967
LEAP-base,Hotspot70,100,4,1,15769
LEAP-concat,Hotspot70,100,4,1,15922
LEAP-interleave,Hotspot70,100,4,1,16325
LEAP-base,Hotspot70,100,4,2,15561
LEAP-concat,Hotspot70,100,4,2,15718
LEAP-interleave,Hotspot70,100,4,2,15916
LEAP-base,Hotspot70,100,8,0,15996
LEAP-concat,Hotspot70,100,8,0,14978
LEAP-interleave,Hotspot70,100,8,0,14310
LEAP-base,Hotspot70,100,8,1,14826
LEAP-concat,Hotspot70,100,8,1,14351
LEAP-interleave,Hotspot70,100,8,1,14971
LEAP-base,Hotspot70,100,8,2,15415
LEAP-concat,Hotspot70,100,8,2,14331
LEAP-interleave,Hotspot70,100,8,2,14441
LEAP-base,Hotspot70,100,16,0,8862
LEAP-concat,Hotspot70,100,16,0,8831
LEAP-interleave,Hotspot70,100,16,0,8813
LEAP-base,Hotspot70,100,16,1,8798
LEAP-concat,Hotspot70,100,16,1,8924
LEAP-interleave,Hotspot70,100,16,1,8900
LEAP-base,Hotspot70,100,16,2,8769
LEAP-concat,Hotspot70,100,16,2,8756
LEAP-interleave,Hotspot70,100,16,2,8821
Serial,Hotspot70,1000,1,0,4991
Serial,Hotspot70,1000,1,1,4991
Serial,Hotspot70,1000,1,2,4992
LEAP-base,Hotspot70,1000,4,0,16129
LEAP-concat,Hotspot70,1000,4,0,12460
LEAP-interleave,Hotspot70,1000,4,0,14593
LEAP-base,Hotspot70,1000,4,1,15637
LEAP-concat,Hotspot70,1000,4,1,13458
LEAP-interleave,Hotspot70,1000,4,1,12806
LEAP-base,Hotspot70,1000,4,2,16100
LEAP-concat,Hotspot70,1000,4,2,12359
LEAP-interleave,Hotspot70,1000,4,2,13114
LEAP-base,Hotspot70,1000,8,0,15614
LEAP-concat,Hotspot70,1000,8,0,11508
LEAP-interleave,Hotspot70,1000,8,0,11529
LEAP-base,Hotspot70,1000,8,1,14880
LEAP-concat,Hotspot70,1000,8,1,11380
LEAP-interleave,Hotspot70,1000,8,1,11554
LEAP-base,Hotspot70,1000,8,2,16344
LEAP-concat,Hotspot70,1000,8,2,11306
LEAP-interleave,Hotspot70,1000,8,2,11512
LEAP-base,Hotspot70,1000,16,0,7690
LEAP-concat,Hotspot70,1000,16,0,9716
LEAP-interleave,Hotspot70,1000,16,0,9842
LEAP-base,Hotspot70,1000,16,1,7495
LEAP-concat,Hotspot70,1000,16,1,9767
LEAP-interleave,Hotspot70,1000,16,1,9872
LEAP-base,Hotspot70,1000,16,2,7532
LEAP-concat,Hotspot70,1000,16,2,9809
LEAP-interleave,Hotspot70,1000,16,2,9759
Serial,Hotspot70,10000,1,0,4995
Serial,Hotspot70,10000,1,1,4995
Serial,Hotspot70,10000,1,2,4996
LEAP-base,Hotspot70,10000,4,0,15806
LEAP-concat,Hotspot70,10000,4,0,18831
LEAP-interleave,Hotspot70,10000,4,0,18727
LEAP-base,Hotspot70,10000,4,1,15305
LEAP-concat,Hotspot70,10000,4,1,18870
LEAP-interleave,Hotspot70,10000,4,1,18808
LEAP-base,Hotspot70,10000,4,2,15741
LEAP-concat,Hotspot70,10000,4,2,18690
LEAP-interleave,Hotspot70,10000,4,2,18703
LEAP-base,Hotspot70,10000,8,0,15826
LEAP-concat,Hotspot70,10000,8,0,28274
LEAP-interleave,Hotspot70,10000,8,0,29671
LEAP-base,Hotspot70,10000,8,1,15189
LEAP-concat,Hotspot70,10000,8,1,29019
LEAP-interleave,Hotspot70,10000,8,1,29240
LEAP-base,Hotspot70,10000,8,2,15679
LEAP-concat,Hotspot70,10000,8,2,30203
LEAP-interleave,Hotspot70,10000,8,2,30857
LEAP-base,Hotspot70,10000,16,0,6976
LEAP-concat,Hotspot70,10000,16,0,24301
LEAP-interleave,Hotspot70,10000,16,0,23902
LEAP-base,Hotspot70,10000,16,1,6928
LEAP-concat,Hotspot70,10000,16,1,24509
LEAP-interleave,Hotspot70,10000,16,1,23548
LEAP-base,Hotspot70,10000,16,2,6933
LEAP-concat,Hotspot70,10000,16,2,23487
LEAP-interleave,Hotspot70,10000,16,2,22547
Serial,Hotspot90,2,1,0,4994
Serial,Hotspot90,2,1,1,4994
Serial,Hotspot90,2,1,2,4994
LEAP-base,Hotspot90,2,4,0,9494
LEAP-concat,Hotspot90,2,4,0,9348
LEAP-interleave,Hotspot90,2,4,0,9323
LEAP-base,Hotspot90,2,4,1,9453
LEAP-concat,Hotspot90,2,4,1,9403
LEAP-interleave,Hotspot90,2,4,1,9453
LEAP-base,Hotspot90,2,4,2,9411
LEAP-concat,Hotspot90,2,4,2,9484
LEAP-interleave,Hotspot90,2,4,2,9429
LEAP-base,Hotspot90,2,8,0,11620
LEAP-concat,Hotspot90,2,8,0,11980
LEAP-interleave,Hotspot90,2,8,0,11924
LEAP-base,Hotspot90,2,8,1,12218
LEAP-concat,Hotspot90,2,8,1,11869
LEAP-interleave,Hotspot90,2,8,1,11589
LEAP-base,Hotspot90,2,8,2,11929
LEAP-concat,Hotspot90,2,8,2,11403
LEAP-interleave,Hotspot90,2,8,2,11809
LEAP-base,Hotspot90,2,16,0,4793
LEAP-concat,Hotspot90,2,16,0,4813
LEAP-interleave,Hotspot90,2,16,0,4814
LEAP-base,Hotspot90,2,16,1,4836
LEAP-concat,Hotspot90,2,16,1,4823
LEAP-interleave,Hotspot90,2,16,1,4762
LEAP-base,Hotspot90,2,16,2,4832
LEAP-concat,Hotspot90,2,16,2,4807
LEAP-interleave,Hotspot90,2,16,2,4857
Serial,Hotspot90,10,1,0,4993
Serial,Hotspot90,10,1,1,4993
Serial,Hotspot90,10,1,2,4993
LEAP-base,Hotspot90,10,4,0,10524
LEAP-concat,Hotspot90,10,4,0,10281
LEAP-interleave,Hotspot90,10,4,0,11818
LEAP-base,Hotspot90,10,4,1,10912
LEAP-concat,Hotspot90,10,4,1,11116
LEAP-interleave,Hotspot90,10,4,1,9903
LEAP-base,Hotspot90,10,4,2,11053
LEAP-concat,Hotspot90,10,4,2,10677
LEAP-interleave,Hotspot90,10,4,2,10702
LEAP-base,Hotspot90,10,8,0,10482
LEAP-concat,Hotspot90,10,8,0,10350
LEAP-interleave,Hotspot90,10,8,0,10488
LEAP-base,Hotspot90,10,8,1,10175
LEAP-concat,Hotspot90,10,8,1,10123
LEAP-interleave,Hotspot90,10,8,1,10601
LEAP-base,Hotspot90,10,8,2,10163
LEAP-concat,Hotspot90,10,8,2,10399
LEAP-interleave,Hotspot90,10,8,2,10534
LEAP-base,Hotspot90,10,16,0,6412
LEAP-concat,Hotspot90,10,16,0,6406
LEAP-interleave,Hotspot90,10,16,0,6401
LEAP-base,Hotspot90,10,16,1,6650
LEAP-concat,Hotspot90,10,16,1,6492
LEAP-interleave,Hotspot90,10,16,1,6525
LEAP-base,Hotspot90,10,16,2,6669
LEAP-concat,Hotspot90,10,16,2,6345
LEAP-interleave,Hotspot90,10,16,2,6442
Serial,Hotspot90,100,1,0,4996
Serial,Hotspot90,100,1,1,4994
Serial,Hotspot90,100,1,2,4995
LEAP-base,Hotspot90,100,4,0,10742
LEAP-concat,Hotspot90,100,4,0,10334
LEAP-interleave,Hotspot90,100,4,0,10695
LEAP-base,Hotspot90,100,4,1,11002
LEAP-concat,Hotspot90,100,4,1,10931
LEAP-interleave,Hotspot90,100,4,1,11378
LEAP-base,Hotspot90,100,4,2,11081
LEAP-concat,Hotspot90,100,4,2,11065
LEAP-interleave,Hotspot90,100,4,2,11465
LEAP-base,Hotspot90,100,8,0,13256
LEAP-concat,Hotspot90,100,8,0,13486
LEAP-interleave,Hotspot90,100,8,0,13858
LEAP-base,Hotspot90,100,8,1,13237
LEAP-concat,Hotspot90,100,8,1,13107
LEAP-interleave,Hotspot90,100,8,1,13349
LEAP-base,Hotspot90,100,8,2,12917
LEAP-concat,Hotspot90,100,8,2,13843
LEAP-interleave,Hotspot90,100,8,2,13731
LEAP-base,Hotspot90,100,16,0,6584
LEAP-concat,Hotspot90,100,16,0,6261
LEAP-interleave,Hotspot90,100,16,0,6528
LEAP-base,Hotspot90,100,16,1,6380
LEAP-concat,Hotspot90,100,16,1,6238
LEAP-interleave,Hotspot90,100,16,1,6383
LEAP-base,Hotspot90,100,16,2,6500
LEAP-concat,Hotspot90,100,16,2,6489
LEAP-interleave,Hotspot90,100,16,2,6357
Serial,Hotspot90,1000,1,0,4994
Serial,Hotspot90,1000,1,1,4995
Serial,Hotspot90,1000,1,2,4995
LEAP-base,Hotspot90,1000,4,0,11250
LEAP-concat,Hotspot90,1000,4,0,10742
LEAP-interleave,Hotspot90,1000,4,0,10199
LEAP-base,Hotspot90,1000,4,1,11176
LEAP-concat,Hotspot90,1000,4,1,10422
LEAP-interleave,Hotspot90,1000,4,1,11312
LEAP-base,Hotspot90,1000,4,2,10743
LEAP-concat,Hotspot90,1000,4,2,10229
LEAP-interleave,Hotspot90,1000,4,2,9775
LEAP-base,Hotspot90,1000,8,0,12727
LEAP-concat,Hotspot90,1000,8,0,9163
LEAP-interleave,Hotspot90,1000,8,0,9455
LEAP-base,Hotspot90,1000,8,1,13447
LEAP-concat,Hotspot90,1000,8,1,9261
LEAP-interleave,Hotspot90,1000,8,1,9224
LEAP-base,Hotspot90,1000,8,2,13742
LEAP-concat,Hotspot90,1000,8,2,9116
LEAP-interleave,Hotspot90,1000,8,2,9106
LEAP-base,Hotspot90,1000,16,0,5502
LEAP-concat,Hotspot90,1000,16,0,7356
LEAP-interleave,Hotspot90,1000,16,0,7383
LEAP-base,Hotspot90,1000,16,1,5522
LEAP-concat,Hotspot90,1000,16,1,7237
LEAP-interleave,Hotspot90,1000,16,1,7290
LEAP-base,Hotspot90,1000,16,2,5496
LEAP-concat,Hotspot90,1000,16,2,7214
LEAP-interleave,Hotspot90,1000,16,2,7193
Serial,Hotspot90,10000,1,0,4994
Serial,Hotspot90,10000,1,1,4994
Serial,Hotspot90,10000,1,2,4994
LEAP-base,Hotspot90,10000,4,0,11509
LEAP-concat,Hotspot90,10000,4,0,18506
LEAP-interleave,Hotspot90,10000,4,0,18692
LEAP-base,Hotspot90,10000,4,1,11300
LEAP-concat,Hotspot90,10000,4,1,18607
LEAP-interleave,Hotspot90,10000,4,1,18752
LEAP-base,Hotspot90,10000,4,2,11307
LEAP-concat,Hotspot90,10000,4,2,18729
LEAP-interleave,Hotspot90,10000,4,2,18614
LEAP-base,Hotspot90,10000,8,0,13584
LEAP-concat,Hotspot90,10000,8,0,26529
LEAP-interleave,Hotspot90,10000,8,0,25631
LEAP-base,Hotspot90,10000,8,1,12781
LEAP-concat,Hotspot90,10000,8,1,24038
LEAP-interleave,Hotspot90,10000,8,1,23406
LEAP-base,Hotspot90,10000,8,2,13888
LEAP-concat,Hotspot90,10000,8,2,23813
LEAP-interleave,Hotspot90,10000,8,2,25241
LEAP-base,Hotspot90,10000,16,0,5525
LEAP-concat,Hotspot90,10000,16,0,19323
LEAP-interleave,Hotspot90,10000,16,0,19206
LEAP-base,Hotspot90,10000,16,1,5395
LEAP-concat,Hotspot90,10000,16,1,18475
LEAP-interleave,Hotspot90,10000,16,1,18374
LEAP-base,Hotspot90,10000,16,2,5468
LEAP-concat,Hotspot90,10000,16,2,18516
LEAP-interleave,Hotspot90,10000,16,2,18756
